ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossSqFoot,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
1000038733,No,Dream Lands,hyderabad,hyd,Andra Pradesh,500012,IN,LEED v4 BD+C: NC,"","","",No,"",2345,"","Lodging: Hotel/Motel/Resort, Full Service",Dream Lands,1/28/2014 0:00
1000038736,No,Three Quarry Ridge,3 Quarry Ridge,Malvern,PA,19355,US,LEED v4 BD+C: CS,"","","",No,"",210000,"",Office: Administrative/Professional,Liberty Property Trust,1/30/2014 0:00
1000038737,No,BuroHappold Offices Los Angeles,800 Wilshire,Los Angeles,CA,90017,US,LEED v4 ID+C: CI,"","","",No,"",12000,"",Office: Administrative/Professional,BuroHappold Engineering Los Angeles,1/30/2014 0:00
1000038738,No,Malmo Live - Kontor,Gibraltargatan 1,Malmoe,SkÕne Lõn,211 18,SE,LEED v4 BD+C: CS,4,"","",No,"",12000,"",Office: Mixed-Use,Skanska Commercial Development Nordic,1/31/2014 0:00
1000038740,No,DoDEA - Quantico M/H School Replacement,Purvis Road,Marine Corps Base Quantico,VA,22134,US,LEED FOR SCHOOLS v2009,"","","",No,Government Use: Federal,116042,"","Core Learning Space: K-12, High School",DoDEA,1/27/2014 0:00
1000038741,No,La Peer Hotel,627 La Peer Drive,West Hollywood,CA,90060,US,LEED-NC v2009,"","","",No,Corporate: Privately Held,1000,0,"Lodging: Hotel/Motel/Resort, Full Service",623 La Peer LLC,1/27/2014 0:00
1000038743,No,Fifth Third Bank - Madisonville,149 South Main Street,Madisonville,KY,42431,US,LEED-NC v2009,48,Certified,1/7/2015 0:00,Yes,"",4041,52707,Retail: Bank Branch,Fifth Third Bank,1/27/2014 0:00
1000038744,No,191 North Wacker Recertification,191 North Wacker Drive,Chicago,IL,60606,US,LEED-EB:OM v2009,81,Platinum,3/24/2015 0:00,Yes,Investor: Insurance Company,778325,22353,Office: Administrative/Professional,AZ/JH Co-Investment Venture (IL) IP,1/27/2014 0:00
1000038745,No,Abes Garden Alzheimers and Memory Care,115 Woodmont Boulevard,Nashville,TN,37205,US,LEED-CI v2009,"","","",No,Corporate: Privately Held,54394,"",Health Care: Nursing Home/ Assisted Living,Abes Garden,1/27/2014 0:00
1000038746,No,Volvo North America Customer Care Center,200 Rowe Road,Shippensburg,PA,17257,US,LEED-NC v2009,38,"","",No,Corporate: Privately Held,20708,355862,Office: Other Office,Volvo Construction Equipment,1/27/2014 0:00
1000038747,No,MO ANG Security Forces Admin / Storage,705 Memorial Drive,St Joseph,MO,64503,US,LEED-NC v2009,"","","",No,Government Use: State,6000,201069,Office: Government,Missouri Air National Guard,1/27/2014 0:00
1000038748,No,DeBakey High School for Health Professio,2160 Pressler,Houston,TX,77030,US,LEED FOR SCHOOLS v2009,"","","",No,"",193417,100182,Core Learning Space: K-12 High School,Houston Independent School District,1/27/2014 0:00
1000038749,No,One Mass Ave,One Massachusetts Avenue,Washington,DC,20001,US,LEED-EB:OM v2009,50,Silver,12/8/2014 0:00,Yes,Corporate: Privately Held,195276,26326,Office: Government,Paladino And Company,1/27/2014 0:00
1000038750,No,Lick Creek Nature Center,13600 East Rock Prairie Road,College Station,TX,77840,US,LEED v4 BD+C: NC,"","","",No,"",5000,"",Public Order and Safety: Other Public Order,City of College Station,1/27/2014 0:00
1000038752,No,Test,3703 W San Juan Street,Tampa,FL,33629,US,LEED v4 BD+C: NC,"","","",No,"",100000,"",Lodging: Dormitory,test,1/27/2014 0:00
1000038754,No,450 H Street,450 H Street NW,Washington,DC,20001,US,LEED v4 O+M: EB,57,Silver,8/28/2014 0:00,Yes,"",30125,"",Office: Government,"BREOF 450 H Street REO, LLC",1/28/2014 0:00
1000038759,No,P&G World Headquarters,418 East 5th Street,Cincinnati,OH,45202,US,LEED-EB:OM v2009,"","","",No,"",1742000,"",Office: Administrative/Professional,P&G,1/29/2014 0:00
1000038766,No,AU-TEST,4400 Mass Ave. NW,Washington,DC,20016,US,LEED-NC v2009,"","","",No,"",77670,"",Core Learning Space: College/University,American University,1/29/2014 0:00
1000038767,No,Hafenstrasse,Niddastrasse 107,Frankfurt,Hesse,60327,DE,LEED v4 BD+C: NC,22,"","",No,"",14300,"",Office: Administrative/Professional,Gross & Partner Grundstuecksentwicklungs,1/30/2014 0:00
1000038768,No,Istanbul Cerrahi Levent Hastanesi,Buyukdere Cad. No:165,Istanbul,Istanbul,34394,TR,LEED v4 BD+C: HC,"","","",No,"",21168,"",Health Care: Clinic/Other Outpatient,GAP INSAAT YATIRIM VE DIS TICARET AS,1/30/2014 0:00
1000038771,No,AstraZeneca SH Zhangjiang Park Phase-1,"No. 199 Liangjing Road, Zhangjiang Hi-tech Park",Shanghai,Shanghai,201203,CN,LEED-EB:OM v2009,69,Gold,11/24/2014 0:00,Yes,Corporate: Publicly Traded,291842,117025,Office: Mixed-Use,"AstraZeneca Investment (China) Co., Ltd",1/27/2014 0:00
1000038772,No,HSBC Gurgaon Office - 2nd Floor,The Hongkong And Shanghai Banking Corporation Limited,Gurgaon,Haryana,122003,IN,LEED-CI v2009,81,Platinum,8/15/2014 0:00,Yes,Investor: Bank,9586,"",Office: Mixed-Use,The Hongkong And Shanghai Banking Corpor,1/28/2014 0:00
1000038773,No,Griffith Food Ingredient Prodn Facility,"Plot No. 12, KIADB Industrial Area",Bangalore Rural District,Karnataka,561203,IN,LEED-NC v2009,"","","",No,Corporate: Privately Held,47136,"",Office: Mixed-Use,Griffith Laboratores Pvt Ltd,1/28/2014 0:00
1000038774,No,Hitch Village,230 Randolph St,Savannah,GA,31401,US,LEED-ND v2009 Stage 2,"","","",No,Corporate: Privately Held,19,"",Residential,Hunt Companies,1/28/2014 0:00
1000038775,No,Fedex Express India,Fedex Express Transporation&Supply Chain Services(India),Mumbai,Maharashtra,400072,IN,LEED-CI v2009,59,"","",No,Corporate: Publicly Traded,64253,"",Office: Administrative/Professional,Fedex Express India,1/28/2014 0:00
1000038776,No,Ilan and Sons TA Mercedes Auto Repair,Homa UMigdal 29,Tel Aviv,Tel Aviv,67129,IL,LEED-CI v2009,"","","",No,Investor: Individual/Family,13203,"",Service: Vehicle Service/Repair,Ilan And Sons Tel Aviv,1/28/2014 0:00
1000038779,No,Dell Seton Medical Center at Univ of TX,1501 Red River Street,Austin,TX,78701,US,LEED-HC v2009,"","","",No,"",517247,152882,Healthcare: Inpatient,Seton Health Care Family,1/28/2014 0:00
1000038780,No,Facebook Seoul,23rd Floor 736-1 Yeoksam-dong,Seoul,Soul-t?ukpyolsi,135-983,KR,LEED-CI v2009,62,Gold,7/16/2014 0:00,Yes,Corporate: Publicly Traded,10411,"",Office: Administrative/Professional,FB,1/28/2014 0:00
1000038781,No,Combined Support Maintenance Shop,Camp Hartell,Windsor Locks,CT,6096,US,LEED-NC v2009,34,"","",No,Government Use: Federal,111870,713900,Service: Other Service,Army National Guard,1/28/2014 0:00
1000038785,No,PNC Bank Branch - Branchburg,204 Raritan Valley College Drive,Branchburg,NJ,8876,US,LEED-CI Retail v2009,40,Certified,9/5/2014 0:00,Yes,Investor: Bank,2416,"",Retail: Bank Branch,The PNC Financial Services Group,1/28/2014 0:00
1000038786,No,SET PLAZA,Atasehir,Istanbul,Istanbul,34750,TR,LEED-CS v2009,"","","",No,Corporate: Privately Held,200000,"",Office: Administrative/Professional,Setra Yapi,1/28/2014 0:00
1000038787,No,Hollywood Charter Academy,2025 McKinley Street,Hollywood,FL,33020,US,LEED v4 BD+C: SC,"","","",No,"",123000,"",Core Learning Space: K-12 High School,"MG3 Dixie, LLC",1/28/2014 0:00
1000038788,No,USBP Falfurrias Master Site,US HWY 281,Falfurrias,TX,78355,US,LEED-NC v2009,"","","",No,Government Use: Federal,11220,"",Public Order and Safety: Other Public Order,BPFTI/LMI,1/28/2014 0:00
1000038789,No,275 East Rivulon,275 East Rivulon Blvd.,Gilbert,AZ,85297,US,LEED-CS v2009,"","","",No,"",132109,521899,Office: Administrative/Professional,Nationwide Realty Investors,1/28/2014 0:00
1000038790,No,UWF - College of Business - BLDG 76,11000 University Parkway,Pensacola,FL,32502,US,LEED-CI v2009,30,"","",No,"Educational: College, Public",20928,"",Core Learning Space: College/University,University Of West FL,1/28/2014 0:00
1000038791,No,400 Atlantic Title LLC Recertification,400 Atlantic Street,Stamford,CT,6901,US,LEED-EB:OM v2009,64,"","",No,Corporate: Privately Held,502833,184633,Office: Mixed-Use,Landis Group,1/28/2014 0:00
1000038794,No,TTU Plant and Soils Sciences,8350 N. Central Expressway,Dallas,TX,75206,US,LEED-NC v2009,"","","",No,"Educational: University, Public",21015,"",Core Learning Space: College/University,Texas Tech University,1/28/2014 0:00
1000038795,No,Entomology and Nemtology Building,1881 NATURAL AREA DR,Gainesville,FL,32611,US,LEED-EB:OM v2009,"","","",No,Government Use: State,46200,"",Core Learning Space: College/University,University Of Florida,1/28/2014 0:00
1000038797,No,STEM Building,1933 Fort Vancouver Way,Vancouver,WA,98663,US,LEED-NC v2009,23,"","",No,"",74987,355016,Core Learning Space: College/University,Clark College,1/28/2014 0:00
1000038798,No,Mentor OH,7685 Mentor Ave,Mentor,OH,44060,US,LEED-CI v2009,62,Gold,6/27/2014 0:00,Yes,"",6971,"",Retail: Open Shopping Center,Verizon Wireless,1/28/2014 0:00
1000038799,No,LG Science Park - ISC,Magok District DP3,Seoul,Soul-t?ukpyolsi,157-201,KR,LEED-NC v2009,"","","",No,"",297245,"",Public Assembly: Social/Meeting,"\\\"\\\"",1/28/2014 0:00
1000038800,No,LG Science Park - LG Display,Magok District DP3,Seoul,Soul-t?ukpyolsi,157-201,KR,LEED-NC v2009,"","","",No,"",420955,"",Laboratory,"\\\"\\\"",1/28/2014 0:00
1000038801,No,LG Science Park - LG Hausys,Magok District DP3,Seoul,Soul-t?ukpyolsi,157-201,KR,LEED-NC v2009,"","","",No,"",298203,"",Laboratory,"\\\"\\\"",1/28/2014 0:00
1000038802,No,LG Science Park - LG Chem - S,Magok District DP3,Seoul,Soul-t?ukpyolsi,157-201,KR,LEED-NC v2009,"","","",No,"",796285,"",Laboratory,"\\\"\\\"",1/28/2014 0:00
1000038803,No,LG Science Park - LG Chem - N,Magok District DP3,Seoul,Soul-t?ukpyolsi,157-201,KR,LEED-NC v2009,"","","",No,"",398143,"",Laboratory,"\\\"\\\"",1/28/2014 0:00
1000038804,No,LG Science Park - LG Life Sciences,Magok District DP3,Seoul,Soul-t?ukpyolsi,157-201,KR,LEED-NC v2009,"","","",No,"",309311,"",Laboratory,"\\\"\\\"",1/28/2014 0:00
1000038805,No,LG Science Park - LG Innotek,Magok District DP3,Seoul,Soul-t?ukpyolsi,157-201,KR,LEED-NC v2009,"","","",No,"",611153,"",Laboratory,"\\\"\\\"",1/28/2014 0:00
1000038806,No,LG Science Park - Shared Lab Center,Magok District DP3,Seoul,Soul-t?ukpyolsi,157-201,KR,LEED-NC v2009,"","","",No,"",307815,"",Laboratory,"\\\"\\\"",1/28/2014 0:00
1000038821,No,55 West 17th Street,55 West 17th Street,New York,NY,10011,US,LEED-NC v2009,"","","",No,Corporate: Publicly Traded,115000,9200,Multi-Family Residential: Condominium,55 West 17 Street Partners LLC,1/29/2014 0:00
1000038822,No,125 W 55th Street,125 W 55th St.,New York,NY,10019,US,LEED-EB:OM v2009,67,Gold,8/14/2014 0:00,Yes,Investor: Equity Fund,588317,33200,Office: Administrative/Professional,"125 West 55th Street Realty Company, LLC",1/29/2014 0:00
1000038824,No,Sucursal Irigoyen Banco Patagonia,Belgrano 955,Capital Federal,Capital Federal,1092,AR,LEED-NC v2009,"","","",No,Corporate: Privately Held,5748,"",Service: Other Service,Banco Patagonia S.A.,1/29/2014 0:00
1000038825,No,MetLife DC,"600 13th Street, NW",Washington,DC,20005,US,LEED-CI v2009,"","","",No,Corporate: Publicly Traded,9847,"",Office: Administrative/Professional,MetLife,1/29/2014 0:00
1000038826,No,Clarke Headquarters,675 Sidwell Court,Saint Charles,IL,60174,US,LEED-CI v2009,"","","",No,Corporate: Privately Held,26967,"",Office: Mixed-Use,Clarke,1/29/2014 0:00
1000038827,No,Northwestern Univeristy Atrium Addition,350 East Superior St.,Chicago,IL,60611,US,LEED-NC v2009,"","","",No,"Educational: College, Private",24965,0,Core Learning Space: College/University,Northwestern University,1/29/2014 0:00
1000038829,No,540 West 26 Street,540 West 26 Street,New York,NY,10001,US,LEED-CS v2009,"","","",No,Corporate: Privately Held,143943,19750,Office: Mixed-Use,540 West 26 St. Property Debt Investors,1/29/2014 0:00
1000038832,No,American University East Campus,3501 Nebraska Ave. NW,Washington,DC,20016,US,LEED v4 BD+C: NC,"","","",No,"",77670,"",Core Learning Space: College/University,American University,1/29/2014 0:00
1000038834,No,Camp Verde Community Library,Black Bridge Road,Camp Verde,AZ,86322,US,LEED-NC v2009,"","","",No,"Government Use: Local, City",17000,252648,Library,Town Of Camp Verde,1/29/2014 0:00
1000038836,No,135 S LaSalle Recertification,135 S LaSalle,Chicago,IL,60604,US,LEED-EB:OM v2009,"","","",No,Corporate: Privately Held,1547120,"",Office: Mixed-Use,"135 S LaSalle Property, LLC",1/29/2014 0:00
1000038837,No,Macys.com at 680 Folsom Street,680 Folsom Street,San Francisco,CA,94103,US,LEED-CI v2009,65,Gold,5/11/2015 0:00,Yes,Corporate: Publicly Traded,191592,"",Office: Administrative/Professional,Macys,1/29/2014 0:00
1000038838,No,The Home Depot - San Francisco,2000 Marin Street,San Francisco,CA,94124,US,LEED-NC v2009,"","","",No,Corporate: Publicly Traded,120000,"",Retail: Other Retail,The Home Depot,1/29/2014 0:00
1000038839,No,Agate Senior Apartments,2655 W. Agate Avenue,Las Vegas,NV,89123,US,LEED v4 BD+C: NC,"","","",No,"",176000,"",Multi-Family Residential: Apartment,"Agate Seniors, LLC",1/29/2014 0:00
1000038840,No,USBP Falfurrias Secondary Storage,US HWY 281,Falfurrias,TX,78355,US,LEED-NC v2009,"","","",No,Government Use: Federal,2555,"",Warehouse and Distribution Center: Warehouse,BPFTI/LMI,1/29/2014 0:00
1000038841,No,Agate II Senior Apartments,2655 W. Agate Avenue,Las Vegas,NV,89123,US,LEED v4 BD+C: NC,"","","",No,"",188500,"",Multi-Family Residential: Apartment,"Agate Seniors II, LLC",1/29/2014 0:00
1000038842,No,200 North LaSalle Recertification,200 North LaSalle,Chicago,IL,60601,US,LEED-EB:OM v2009,"","","",No,Corporate: Privately Held,698645,"",Office: Mixed-Use,The Onni Group,1/29/2014 0:00
1000038845,No,US NAVY P-714 Unaccompanied Housing,2414 MacDonough St,Great Lakes,IL,60085,US,LEED-NC v2009,"","","",No,Government Use: Federal,165753,"",Lodging: Other lodging,U.S. NAVY,1/30/2014 0:00
1000038847,No,Columbus Fire Station 9,Giddens Rd,Columbus,GA,31907,US,LEED-NC v2009,"","","",No,"Government Use: Local, City",8227,126414,Public Order and Safety: Fire/Police Station,Columbus Consolidated Government,1/30/2014 0:00
1000038848,No,VA Outpatient Clinic,"500 Markaview Road, NW",Huntsville,AL,35805,US,LEED-HC v2009,"","","",No,Corporate: Privately Held,60334,355516,Health Care: Clinic/Other Outpatient,Johnson Development,1/30/2014 0:00
1000038849,No,UW - Police Department Facility,University Of Washington,Seattle,WA,98195,US,LEED-NC v2009,"","","",No,Government Use: State,28959,30524,Public Order and Safety: Fire/Police Station,University Of Washington,1/30/2014 0:00
1000038850,No,Tenaris Bay City Industrial Facility,7960 State Highway 35,Bay City,TX,77414,US,LEED-NC v2009,"","","",No,"",1622269,"",Industrial Manufacturing,"\\\"\\\"",1/30/2014 0:00
1000038860,No,IRS Demo Offices,8990 Atlantic Avenue,South Gate,CA,90280,US,LEED-NC v2009,"","","",No,Investor: Individual/Family,38656,135980,Office: Administrative/Professional,"Interior Removal Specialists, Inc",1/30/2014 0:00
1000038862,No,Viridian NWA Field Office,121 West South Street,Fayetteville,AR,72701,US,LEED v4 BD+C: NC,"","","",No,"",2000,"",Office: Administrative/Professional,Viridian,1/30/2014 0:00
1000038865,No,440 South LaSalle,440 South LaSalle,Chicago,IL,60605,US,LEED-EB:OM v2009,62,Gold,8/7/2014 0:00,Yes,Corporate: Publicly Traded,1157744,94127,Office: Administrative/Professional,Behringer Harvard,1/30/2014 0:00
1000038867,No,Kum and Go Store 0159,4095 Prince St.,Conway,AR,72034,US,LEED-NC Retail v2009,53,Silver,2/11/2015 0:00,Yes,"",4958,65025,Retail: Convenience Store,Kum & Go,1/30/2014 0:00
1000038868,No,Enclave Place,1414 Enclave Parkway,Houston,TX,77077,US,LEED-CS v2009,"","","",No,Corporate: Privately Held,312357,203432,Office: Other Office,Piedmont Office Realty Trust,1/30/2014 0:00
1000038869,No,Sacramento Entertainment and Sports Cent,One Sports Parkway,Sacramento,CA,95834,US,LEED-NC v2009,"","","",No,Corporate: Privately Held,700000,0,Public Assembly: Stadium/Arena,"Sacramento Basketball Holdings, LLC",1/30/2014 0:00
1000038870,No,Lake Mills Elementary School,155 E. Pine St.,Lake Mills,WI,53551,US,LEED v4 BD+C: SC,71,"","",No,"",93284,"",Core Learning Space: K-12 Elementary/Middle School,Lake Mills Area School District,1/30/2014 0:00
1000038871,No,10 Emery Street Warehouse,10 Emery Street,Bethlehem,PA,18015,US,LEED v4 BD+C: CS,"","","",No,"",800000,"",Warehouse: General,Liberty Property Trust,1/31/2014 0:00
1000038872,No,UVM Miller Research Farm Barns,490 Spear Street,South Burlington,VT,5403,US,LEED v4 BD+C: NC,"","","",No,"",23165,"",Other,The University of Vermont,1/31/2014 0:00
1000038880,No,Foothill Corporate Plaza,27051 Towne Centre Drive,Foothill Ranch,CA,92610,US,LEED-EB:OM v2009,"","","",No,Investor: Insurance Company,206451,"",Office: Mixed-Use,Met Life,1/30/2014 0:00
1000038883,No,Wells Fargo Advisors - Tulsa,6060 South American St E,Tulsa,OK,74136,US,LEED-CI v2009,70,Gold,11/12/2014 0:00,Yes,Corporate: Publicly Traded,10936,"",Office: Financial,Wells Fargo,1/31/2014 0:00
1000038885,No,The New England Aquarium,1 Central Wharf,Boston,MA,2110,US,LEED v4 O+M: EB,"","","",No,"",136000,"",Public Assembly: Other Assembly,Bud Ris,1/31/2014 0:00
1000038886,No,3141 Fairview Park Drive,3141 Fairview Park Drive,Falls Church,VA,22042,US,LEED-EB:OM v2009,"","","",No,"Investor: REIT, Publicly traded",203389,0,Office: Administrative/Professional,Brandywine Realty Trust,1/31/2014 0:00
1000038887,No,Shoreline Management Office,1 Wilmore Lane,Lake Ozark,MO,65049,US,LEED-NC v2009,41,Certified,5/20/2015 0:00,Yes,Corporate: Publicly Traded,10202,69148,Office: Administrative/Professional,Ameren,1/31/2014 0:00
1000038888,No,Royal Farms 196,3701 Kirkwood Highway,Mill Creek,DE,19808,US,LEED-NC v2009,47,Certified,9/22/2014 0:00,Yes,Corporate: Privately Held,5125,106038,Retail: Convenience Store,Royal Farms,1/31/2014 0:00
